"","treatment","woreAnticonflictWristband","studentID","eligible","hasOlderSiblings","friend1","friend2","friend3","friend4","friend5","friend6","friend7","friend8","friend9","friend10","grade","black","female","school_id","student_block","hasCellphone","hasCollegePlan","hispanic"
"1",0,1,"SCHID1_STID1",0,1,"SCHID1_STID12","SCHID1_STID999","SCHID1_STID140","SCHID1_STID13","SCHID1_STID28","SCHID1_STID22","SCHID1_STID2","SCHID1_STID32","SCHID1_STID178","SCHID1_STID77",6,0,1,1,0,1,1,0
"2",0,0,"SCHID1_STID2",1,1,"SCHID1_STID21","SCHID1_STID31","SCHID1_STID7","SCHID1_STID20","SCHID1_STID13","SCHID1_STID9","SCHID1_STID32",NA,NA,NA,6,0,1,1,4,1,1,0
"3",0,0,"SCHID1_STID3",0,1,"SCHID1_STID999","SCHID1_STID1","SCHID1_STID45","SCHID1_STID20","SCHID1_STID72","SCHID1_STID203","SCHID1_STID24","SCHID1_STID31","SCHID1_STID21","SCHID1_STID14",6,0,1,1,0,1,0,0
"4",0,1,"SCHID1_STID4",0,0,"SCHID1_STID19","SCHID1_STID24","SCHID1_STID32","SCHID1_STID22","SCHID1_STID8","SCHID1_STID999","SCHID1_STID2",NA,NA,NA,6,0,1,1,0,1,1,1
"5",0,1,"SCHID1_STID5",0,0,"SCHID1_STID258","SCHID1_STID10","SCHID1_STID4","SCHID1_STID32","SCHID1_STID45","SCHID1_STID2","SCHID1_STID21",NA,NA,NA,6,0,1,1,0,1,1,1
"6",0,1,"SCHID1_STID6",0,0,"SCHID1_STID13","SCHID1_STID24","SCHID1_STID26","SCHID1_STID29","SCHID1_STID4","SCHID1_STID31","SCHID1_STID28","SCHID1_STID206","SCHID1_STID30","SCHID1_STID2",6,0,1,1,0,1,1,1
"7",0,NA,"SCHID1_STID7",0,1,"SCHID1_STID9","SCHID1_STID21","SCHID1_STID20","SCHID1_STID2","SCHID1_STID37","SCHID1_STID65","SCHID1_STID18","SCHID1_STID52","SCHID1_STID53","SCHID1_STID11",6,0,1,1,0,1,1,0
"8",0,0,"SCHID1_STID8",0,1,"SCHID1_STID184","SCHID1_STID229","SCHID1_STID22","SCHID1_STID28","SCHID1_STID13","SCHID1_STID110","SCHID1_STID195","SCHID1_STID80","SCHID1_STID23","SCHID1_STID233",6,0,1,1,0,0,1,1
"9",0,1,"SCHID1_STID9",0,0,"SCHID1_STID21","SCHID1_STID7","SCHID1_STID20","SCHID1_STID31","SCHID1_STID18","SCHID1_STID2","SCHID1_STID32","SCHID1_STID37","SCHID1_STID53","SCHID1_STID11",6,0,1,1,0,1,1,0
"10",0,0,"SCHID1_STID10",0,1,"SCHID1_STID247","SCHID1_STID203","SCHID1_STID204","SCHID1_STID15","SCHID1_STID45","SCHID1_STID71","SCHID1_STID27","SCHID1_STID30","SCHID1_STID268",NA,6,0,1,1,0,1,1,0
"11",0,1,"SCHID1_STID11",0,0,"SCHID1_STID17","SCHID1_STID262","SCHID1_STID257",NA,NA,NA,NA,NA,NA,NA,6,0,1,1,0,1,1,1
"12",1,0,"SCHID1_STID13",1,1,"SCHID1_STID28","SCHID1_STID12","SCHID1_STID19","SCHID1_STID22","SCHID1_STID8","SCHID1_STID80",NA,NA,NA,NA,6,0,1,1,4,1,1,0
"13",0,0,"SCHID1_STID14",1,NA,"SCHID1_STID999","SCHID1_STID999","SCHID1_STID999",NA,NA,NA,NA,NA,NA,NA,6,0,1,1,4,1,1,0
"14",0,1,"SCHID1_STID15",0,1,"SCHID1_STID23","SCHID1_STID30","SCHID1_STID10","SCHID1_STID28","SCHID1_STID31","SCHID1_STID2","SCHID1_STID1","SCHID1_STID4","SCHID1_STID268","SCHID1_STID269",6,0,1,1,0,0,1,1
"15",0,1,"SCHID1_STID16",0,0,"SCHID1_STID1","SCHID1_STID4","SCHID1_STID8","SCHID1_STID32","SCHID1_STID28","SCHID1_STID22","SCHID1_STID19","SCHID1_STID10","SCHID1_STID24","SCHID1_STID20",6,0,1,1,0,1,1,1
"16",0,1,"SCHID1_STID17",0,0,"SCHID1_STID11","SCHID1_STID257","SCHID1_STID262",NA,NA,NA,NA,NA,NA,NA,6,0,1,1,0,1,1,1
