gkclasstype,gender,race,gkschid,gkfreelunch,gksurban,g8tmathss,g8treadss,hsgrdcol
SMALL CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,767,724,NA
REGULAR CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,772,772,NA
SMALL CLASS,FEMALE,WHITE,201449,FREE LUNCH,RURAL,829,794,YES
REGULAR CLASS,MALE,WHITE,230612,NON-FREE LUNCH,RURAL,NA,NA,YES
REGULAR CLASS,MALE,BLACK,169219,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,161176,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,168211,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,244831,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,244728,NON-FREE LUNCH,INNER CITY,740,748,NA
SMALL CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,244755,NON-FREE LUNCH,INNER CITY,785,742,YES
SMALL CLASS,MALE,WHITE,218562,FREE LUNCH,URBAN,827,789,NA
SMALL CLASS,FEMALE,WHITE,262937,NON-FREE LUNCH,SUBURBAN,808,892,YES
REGULAR CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,813,801,YES
REGULAR CLASS,FEMALE,WHITE,189396,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,262937,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,221571,FREE LUNCH,RURAL,792,756,YES
SMALL CLASS,FEMALE,WHITE,218562,FREE LUNCH,URBAN,800,790,NA
SMALL CLASS,FEMALE,WHITE,162184,NON-FREE LUNCH,RURAL,789,758,YES
SMALL CLASS,FEMALE,BLACK,244818,FREE LUNCH,INNER CITY,810,745,YES
SMALL CLASS,MALE,BLACK,244755,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244796,FREE LUNCH,INNER CITY,NA,NA,NO
SMALL CLASS,FEMALE,BLACK,244796,FREE LUNCH,INNER CITY,822,775,YES
SMALL CLASS,FEMALE,WHITE,162184,FREE LUNCH,RURAL,803,777,YES
SMALL CLASS,FEMALE,BLACK,244796,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NO
REGULAR CLASS,FEMALE,BLACK,244839,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
